,date,home_team_name,home_team_id,home_team_pitcher_name,home_team_pitcher_id,away_team_name,away_team_id,away_team_pitcher_name,away_team_pitcher_id,Home_Team__averageAgainst,Home_Team__OBP_against,Home_Team__E_totalBasesAgainst,Home_Team__E_slugging_Against,Home_Team__E_OPS_Against,Home_Team__WHIP,Home_Team__KInning,Home_Team__pressureDifferential,Home_Team__ERA,Home_Team__FIP,Home_Team__hitters_faced_9,Home_Team__K_9,Home_Team__bb_9,Home_Team__K_BB,Home_Team__team_hr_9,Home_Team__allowed_iso,Home_Team__contact_outs,Home_Team__pitches_per_batter,Home_Team__dpi,Home_Team__reb,Home_Team__ground_air_against,Home_Team__strand_rate_against,Home_Team__average,Home_Team__obp,Home_Team__E_total_bases,Home_Team__E_slugging,Home_Team__EOPS,Home_Team__rbipa,Home_Team__walkRate,Home_Team__kRate,Home_Team__ktobb,Home_Team__E_iso,Home_Team__pitches_seen_per_PA,Home_Team__runsPerGame,Home_Team__homeRunsPerGame,Home_Team__babip,Home_Team__atBats_hr,Home_Starting_Pitcher__averageAgainst,Home_Starting_Pitcher__OBP_against,Home_Starting_Pitcher__E_totalBasesAgainst,Home_Starting_Pitcher__E_slugging_Against,Home_Starting_Pitcher__E_OPS_Against,Home_Starting_Pitcher__WHIP,Home_Starting_Pitcher__KInning,Home_Starting_Pitcher__pressureDifferential,Home_Starting_Pitcher__ERA,Home_Starting_Pitcher__FIP,Home_Starting_Pitcher__hitters_faced_9,Home_Starting_Pitcher__K_9,Home_Starting_Pitcher__bb_9,Home_Starting_Pitcher__K_BB,Home_Starting_Pitcher__team_hr_9,Home_Starting_Pitcher__allowed_iso,Home_Starting_Pitcher__contact_outs,Home_Starting_Pitcher__pitches_per_batter,Home_Starting_Pitcher__dpi,Home_Starting_Pitcher__reb,Home_Starting_Pitcher__ground_air_against,Home_Starting_Pitcher__strand_rate_against,Away_Team__averageAgainst,Away_Team__OBP_against,Away_Team__E_totalBasesAgainst,Away_Team__E_slugging_Against,Away_Team__E_OPS_Against,Away_Team__WHIP,Away_Team__KInning,Away_Team__pressureDifferential,Away_Team__ERA,Away_Team__FIP,Away_Team__hitters_faced_9,Away_Team__K_9,Away_Team__bb_9,Away_Team__K_BB,Away_Team__team_hr_9,Away_Team__allowed_iso,Away_Team__contact_outs,Away_Team__pitches_per_batter,Away_Team__dpi,Away_Team__reb,Away_Team__ground_air_against,Away_Team__strand_rate_against,Away_Team__average,Away_Team__obp,Away_Team__E_total_bases,Away_Team__E_slugging,Away_Team__EOPS,Away_Team__rbipa,Away_Team__walkRate,Away_Team__kRate,Away_Team__ktobb,Away_Team__E_iso,Away_Team__pitches_seen_per_PA,Away_Team__runsPerGame,Away_Team__homeRunsPerGame,Away_Team__babip,Away_Team__atBats_hr,Away_Starting_Pitcher__averageAgainst,Away_Starting_Pitcher__OBP_against,Away_Starting_Pitcher__E_totalBasesAgainst,Away_Starting_Pitcher__E_slugging_Against,Away_Starting_Pitcher__E_OPS_Against,Away_Starting_Pitcher__WHIP,Away_Starting_Pitcher__KInning,Away_Starting_Pitcher__pressureDifferential,Away_Starting_Pitcher__ERA,Away_Starting_Pitcher__FIP,Away_Starting_Pitcher__hitters_faced_9,Away_Starting_Pitcher__K_9,Away_Starting_Pitcher__bb_9,Away_Starting_Pitcher__K_BB,Away_Starting_Pitcher__team_hr_9,Away_Starting_Pitcher__allowed_iso,Away_Starting_Pitcher__contact_outs,Away_Starting_Pitcher__pitches_per_batter,Away_Starting_Pitcher__dpi,Away_Starting_Pitcher__reb,Away_Starting_Pitcher__ground_air_against,Away_Starting_Pitcher__strand_rate_against,home_team_wins
0,2025-04-27,Washington Nationals,120,Mitchell Parker,680730,New York Mets,121,Tylor Megill,656731,0.23801652892561984,0.3223495702005731,310.0,0.44412607449856734,0.7664756446991404,1.388888888888889,1.0185185185185186,0.37037037037037046,4.555555555555557,3.706172839506173,38.777777777777786,9.166666666666668,3.6111111111111116,2.5384615384615383,0.7222222222222223,0.2061095455729475,321.0,3.872492836676218,0.6475644699140402,0.12034383954154727,0.5742971887550201,0.46153846153846156,0.2491103202846975,0.3180379746835443,290.0,0.4588607594936709,0.7768987341772151,0.11867088607594936,0.09335443037974683,0.1629746835443038,0.5728155339805825,0.20975043920897338,3.857594936708861,0.4491017964071856,0.10179640718562874,0.2751677852348993,33.05882352941177,0.19548872180451127,0.2857142857142857,53.0,0.34415584415584416,0.6298701298701299,1.1785714285714286,0.5357142857142857,0.6428571428571429,2.6517857142857144,3.9232142857142858,37.125,4.821428571428571,3.8571428571428568,1.25,0.24107142857142855,0.1486671223513329,92.0,3.603896103896104,0.7532467532467533,0.08441558441558442,0.475,1.0,0.24305555555555555,0.3103448275862069,251.0,0.3934169278996865,0.7037617554858935,1.2997811816192562,1.063457330415755,0.23632385120350108,2.954048140043764,2.8980306345733045,37.69365426695843,9.571115973741795,3.1312910284463897,3.056603773584906,0.4726477024070022,0.15036137234413097,295.0,3.998432601880878,0.6551724137931034,0.08934169278996865,0.6121495327102804,0.47058823529411764,0.25773195876288657,0.3302752293577982,313.0,0.4785932721712538,0.808868501529052,0.1162079510703364,0.0871559633027523,0.1819571865443425,0.4789915966386555,0.22086131340836723,3.96177370030581,0.4523809523809524,0.09523809523809523,0.2958057395143488,36.375,0.19827586206896552,0.2824427480916031,46.0,0.3511450381679389,0.633587786259542,1.1935483870967742,1.2580645161290323,-0.06451612903225801,1.7419354838709677,2.458064516129032,38.03225806451613,11.32258064516129,3.4838709677419355,3.25,0.29032258064516125,0.15286917609897338,54.0,4.129770992366412,0.5954198473282443,0.07633587786259542,0.5609756097560976,1.0,True
1,2025-04-27,New York Yankees,147,Max Fried,608331,Toronto Blue Jays,141,Kevin Gausman,592332,0.19444444444444445,0.27596899224806204,259.0,0.4015503875968992,0.6775193798449612,1.119496855345912,0.9811320754716981,0.1383647798742138,2.943396226415094,3.7094339622641512,36.50943396226415,8.830188679245284,3.509433962264151,2.5161290322580645,0.8490566037735849,0.20710594315245476,321.0,3.8635658914728683,0.6558139534883721,0.09147286821705426,0.6458333333333334,0.8125,0.25040916530278234,0.33948863636363635,341.0,0.484375,0.8238636363636364,0.109375,0.11221590909090909,0.24289772727272727,0.4619883040935672,0.23396583469721766,3.961647727272727,0.41847826086956524,0.10869565217391304,0.31220657276995306,30.55,0.20689655172413793,0.267515923566879,55.0,0.3503184713375796,0.6178343949044586,1.1150442477876108,0.8761061946902655,0.23893805309734528,1.1946902654867257,3.0938053097345133,37.51327433628319,7.88495575221239,2.150442477876106,3.666666666666667,0.47787610619469034,0.14342191961344167,80.0,3.732484076433121,0.7133757961783439,0.06369426751592357,0.671875,1.0,0.2320754716981132,0.30185497470489037,261.0,0.44013490725126475,0.7419898819561551,1.2546728971962617,1.0514018691588787,0.20327102803738306,3.343457943925234,3.823831775700935,37.408878504672906,9.462616822429908,2.9649532710280373,3.191489361702128,1.0724299065420562,0.20805943555315154,278.0,3.851602023608769,0.6526138279932546,0.09780775716694773,0.5227272727272727,0.9130434782608696,0.22184300341296928,0.28637059724349156,256.0,0.39203675344563554,0.678407350689127,0.08116385911179173,0.0781010719754977,0.1807044410413476,0.4322033898305085,0.17019375003266626,3.782542113323124,0.29444444444444445,0.05555555555555555,0.25862068965517243,58.6,0.2033898305084746,0.26515151515151514,56.0,0.42424242424242425,0.6893939393939394,1.0294117647058822,0.8235294117647058,0.2058823529411764,4.5,4.052941176470588,34.94117647058823,7.411764705882352,2.9117647058823533,2.545454545454545,1.0588235294117647,0.22085259373394966,74.0,4.106060606060606,0.7045454545454546,0.13636363636363635,0.3466666666666667,1.0,True
2,2025-04-27,New York Yankees,147,Clarke Schmidt,657376,Toronto Blue Jays,141,Chris Bassitt,605135,0.19444444444444445,0.27596899224806204,259.0,0.4015503875968992,0.6775193798449612,1.119496855345912,0.9811320754716981,0.1383647798742138,2.943396226415094,3.7094339622641512,36.50943396226415,8.830188679245284,3.509433962264151,2.5161290322580645,0.8490566037735849,0.20710594315245476,321.0,3.8635658914728683,0.6558139534883721,0.09147286821705426,0.6458333333333334,0.8125,0.25040916530278234,0.33948863636363635,341.0,0.484375,0.8238636363636364,0.109375,0.11221590909090909,0.24289772727272727,0.4619883040935672,0.23396583469721766,3.961647727272727,0.41847826086956524,0.10869565217391304,0.31220657276995306,30.55,0.21428571428571427,0.3230769230769231,35.0,0.5384615384615384,0.8615384615384616,1.4318181818181819,1.0227272727272727,0.40909090909090917,5.5227272727272725,5.654545454545454,39.88636363636363,9.204545454545455,5.5227272727272725,1.6666666666666667,1.840909090909091,0.32417582417582413,29.0,3.7384615384615385,0.6307692307692307,0.13846153846153847,0.52,1.0,0.2320754716981132,0.30185497470489037,261.0,0.44013490725126475,0.7419898819561551,1.2546728971962617,1.0514018691588787,0.20327102803738306,3.343457943925234,3.823831775700935,37.408878504672906,9.462616822429908,2.9649532710280373,3.191489361702128,1.0724299065420562,0.20805943555315154,278.0,3.851602023608769,0.6526138279932546,0.09780775716694773,0.5227272727272727,0.9130434782608696,0.22184300341296928,0.28637059724349156,256.0,0.39203675344563554,0.678407350689127,0.08116385911179173,0.0781010719754977,0.1807044410413476,0.4322033898305085,0.17019375003266626,3.782542113323124,0.29444444444444445,0.05555555555555555,0.25862068965517243,58.6,0.2462686567164179,0.2916666666666667,58.0,0.4027777777777778,0.6944444444444444,1.2233009708737863,1.1359223300970873,0.08737864077669899,2.6213592233009706,2.471844660194175,37.74757281553398,10.223300970873787,1.8349514563106795,5.571428571428572,0.5242718446601942,0.1565091210613599,64.0,3.9027777777777777,0.6666666666666666,0.06944444444444445,0.6808510638297872,1.0,True
3,2025-04-27,Cleveland Guardians,114,Logan Allen,671106,Boston Red Sox,111,Brayan Bello,678394,0.23529411764705882,0.3126984126984127,292.0,0.4634920634920635,0.7761904761904762,1.2960526315789473,1.0789473684210527,0.2171052631578947,3.5526315789473686,3.95,37.30263157894736,9.710526315789474,3.789473684210526,2.5625000000000004,1.125,0.2281979458450047,292.0,4.06984126984127,0.6365079365079365,0.09841269841269841,0.49583333333333335,0.8421052631578947,0.25411334552102377,0.3184818481848185,281.0,0.4636963696369637,0.7821782178217822,0.10891089108910891,0.08085808580858085,0.19471947194719472,0.4152542372881356,0.20958302411593993,3.8465346534653464,0.38823529411764707,0.09411764705882353,0.2914691943127962,34.1875,0.27835051546391754,0.3508771929824561,51.0,0.4473684210526316,0.7982456140350878,1.5584415584415583,0.7012987012987013,0.857142857142857,4.207792207792208,4.32987012987013,39.97402597402597,6.311688311688312,4.558441558441558,1.3846153846153848,0.7012987012987013,0.16901790558871405,59.0,4.017543859649122,0.7280701754385965,0.11403508771929824,0.4528301886792453,1.0,0.23684210526315788,0.3106312292358804,254.0,0.4219269102990033,0.7325581395348837,1.326241134751773,1.070921985815603,0.25531914893617014,3.5744680851063833,3.554609929078014,38.42553191489361,9.638297872340427,3.5106382978723403,2.745454545454546,0.8297872340425532,0.18508480503584543,272.0,3.893687707641196,0.6478405315614618,0.11461794019933555,0.6767676767676768,0.5833333333333333,0.23303834808259588,0.3151041666666667,364.0,0.4739583333333333,0.7890625,0.10416666666666667,0.09635416666666667,0.23567708333333334,0.4088397790055249,0.24091998525073743,3.8736979166666665,0.41450777202072536,0.11398963730569948,0.28274428274428276,30.818181818181817,0.2564102564102564,0.375,26.0,0.5416666666666666,0.9166666666666666,1.6363636363636365,0.6363636363636364,1.0,3.272727272727273,6.472727272727273,39.272727272727266,5.7272727272727275,4.909090909090908,1.166666666666667,1.6363636363636365,0.28525641025641024,26.0,4.083333333333333,0.6875,0.08333333333333333,1.25,1.0,False
4,2025-04-27,Detroit Tigers,116,Tarik Skubal,669373,Baltimore Orioles,110,Dean Kremer,665152,0.20522388059701493,0.2653061224489796,200.0,0.3401360544217687,0.6054421768707483,1.0660592255125283,0.9430523917995444,0.12300683371298393,1.7220956719817766,2.9676537585421414,36.16400911161731,8.487471526195899,2.3371298405466967,3.6315789473684212,0.49202733485193617,0.13491217382475376,301.0,3.8962585034013606,0.6870748299319728,0.05612244897959184,0.5720164609053497,0.8461538461538461,0.2396551724137931,0.31546707503828486,285.0,0.43644716692189894,0.7519142419601839,0.12098009188361408,0.09341500765696784,0.23124042879019907,0.40397350993377484,0.19679199450810583,3.9218989280245022,0.4340659340659341,0.08791208791208792,0.2942583732057416,36.25,0.23308270676691728,0.26618705035971224,48.0,0.34532374100719426,0.6115107913669064,1.0673076923076923,1.153846153846154,-0.08653846153846168,2.3365384615384617,2.536538461538462,36.08653846153847,10.384615384615385,1.2980769230769231,8.0,0.778846153846154,0.11224103424027698,64.0,3.8345323741007196,0.6690647482014388,0.06474820143884892,0.5283018867924528,1.0,0.28964059196617337,0.36363636363636365,305.0,0.5658627087198516,0.9294990723562152,1.6153846153846152,0.6758241758241758,0.9395604395604394,5.489010989010988,5.557142857142857,39.980769230769226,6.082417582417582,4.228021978021977,1.4385964912280704,1.5576923076923077,0.2762221167536782,282.0,3.8423005565862707,0.738404452690167,0.14100185528756956,0.6804123711340206,0.7666666666666666,0.2239819004524887,0.3237113402061856,247.0,0.5092783505154639,0.8329896907216494,0.10309278350515463,0.10309278350515463,0.22061855670103092,0.4672897196261682,0.2852964500629752,4.144329896907217,0.36496350364963503,0.16058394160583941,0.24367088607594936,20.09090909090909,0.31007751937984496,0.35,80.0,0.5714285714285714,0.9214285714285714,1.5978260869565217,0.6521739130434783,0.9456521739130435,7.0434782608695645,5.743478260869566,41.086956521739125,5.869565217391305,2.3478260869565215,2.5000000000000004,2.0543478260869565,0.26135105204872644,72.0,3.914285714285714,0.7928571428571428,0.18571428571428572,0.4838709677419355,1.0,True
5,2025-04-27,Minnesota Twins,142,Joe Ryan,657746,Los Angeles Angels,108,José Soriano,667755,0.22014925373134328,0.28061224489795916,241.0,0.4098639455782313,0.6904761904761905,1.1592505854800936,1.0117096018735363,0.14754098360655732,3.161592505854801,3.5372365339578455,37.18032786885246,9.105386416861826,2.6557377049180326,3.4285714285714284,0.9484777517564402,0.18971469184688802,283.0,3.9659863945578233,0.6751700680272109,0.0935374149659864,0.4701195219123506,0.5,0.23017408123791103,0.3100511073253833,261.0,0.444633730834753,0.7546848381601363,0.10391822827938671,0.0868824531516184,0.21465076660988075,0.40476190476190477,0.21445964959684197,4.088586030664395,0.3588235294117647,0.08235294117647059,0.2741514360313316,36.92857142857143,0.216,0.26865671641791045,57.0,0.4253731343283582,0.6940298507462687,1.0588235294117647,1.1470588235294117,-0.08823529411764697,3.1764705882352944,3.611764705882353,35.470588235294116,10.323529411764705,1.0588235294117647,9.749999999999998,1.3235294117647058,0.20937313432835822,63.0,4.037313432835821,0.6417910447761194,0.08955223880597014,0.3114754098360656,1.0,0.26653696498054474,0.34305317324185247,276.0,0.4734133790737564,0.8164665523156089,1.485148514851485,0.7797029702970296,0.7054455445544553,4.2103960396039595,4.395544554455445,38.962871287128706,7.017326732673267,3.8094059405940586,1.842105263157895,0.9356435643564355,0.20687641409321167,299.0,3.9056603773584904,0.7118353344768439,0.11320754716981132,0.677570093457944,0.7058823529411764,0.2006980802792321,0.24713584288052373,259.0,0.4238952536824877,0.6710310965630114,0.0867430441898527,0.05073649754500818,0.2945990180032733,0.17222222222222222,0.2231971734032556,3.9361702127659575,0.30994152046783624,0.15204678362573099,0.2418478260869565,22.03846153846154,0.2713178294573643,0.3448275862068966,64.0,0.4413793103448276,0.7862068965517242,1.4705882352941178,0.7647058823529411,0.7058823529411766,4.5,4.141176470588236,38.38235294117647,6.88235294117647,3.9705882352941178,1.7333333333333332,0.7941176470588236,0.17006148088746326,76.0,3.579310344827586,0.7172413793103448,0.12413793103448276,2.04,1.0,True
6,2025-04-27,Kansas City Royals,118,Kris Bubic,663460,Houston Astros,117,Hunter Brown,686613,0.2266244057052298,0.29529243937232524,289.0,0.4122681883024251,0.7075606276747504,1.2248520710059172,0.9171597633136095,0.3076923076923077,3.3550295857988166,3.809467455621302,37.33136094674556,8.254437869822485,3.088757396449704,2.6724137931034484,0.9053254437869822,0.18564378259719533,352.0,3.8159771754636234,0.6875891583452212,0.09557774607703282,0.575091575091575,0.5333333333333333,0.2273476112026359,0.2895125553914328,252.0,0.3722304283604136,0.6617429837518464,0.07976366322008863,0.07976366322008863,0.19940915805022155,0.4,0.14488281715777768,3.8360413589364843,0.2918918918918919,0.03783783783783784,0.27637130801687765,86.71428571428571,0.21323529411764705,0.2866666666666667,55.0,0.36666666666666664,0.6533333333333333,1.1944444444444444,1.0277777777777777,0.16666666666666674,2.25,3.0333333333333337,37.5,9.25,3.0,3.0833333333333335,0.5,0.1534313725490196,71.0,3.76,0.66,0.07333333333333333,0.6274509803921569,1.0,0.22163120567375885,0.2679738562091503,260.0,0.42483660130718953,0.6928104575163399,1.0649350649350648,0.9025974025974026,0.16233766233766223,2.7467532467532467,3.3363636363636364,35.76623376623377,8.123376623376624,2.0454545454545454,3.9714285714285715,0.8181818181818182,0.20320539563343068,323.0,3.869281045751634,0.7091503267973857,0.0784313725490196,0.5408560311284046,0.6111111111111112,0.23737373737373738,0.3048048048048048,289.0,0.4339339339339339,0.7387387387387387,0.1021021021021021,0.08558558558558559,0.1996996996996997,0.42857142857142855,0.19656019656019655,3.8453453453453452,0.36363636363636365,0.08021390374331551,0.2781456953642384,39.6,0.1889763779527559,0.23134328358208955,46.0,0.34328358208955223,0.5746268656716418,0.8378378378378378,1.0810810810810811,-0.2432432432432433,1.2162162162162162,1.956756756756757,32.5945945945946,9.72972972972973,1.7027027027027029,5.7142857142857135,0.24324324324324326,0.15430720413679633,71.0,4.313432835820896,0.6492537313432836,0.04477611940298507,0.95,1.0,False
7,2025-04-27,St. Louis Cardinals,138,Erick Fedde,607200,Milwaukee Brewers,158,Jose Quintana,500779,0.22410865874363328,0.2837209302325581,253.0,0.3922480620155039,0.6759689922480621,1.150943396226415,0.7295597484276729,0.42138364779874216,3.1698113207547167,3.6842767295597487,36.50943396226415,6.566037735849056,2.6037735849056602,2.5217391304347827,0.6792452830188679,0.1681394032718706,361.0,3.744186046511628,0.7410852713178294,0.09147286821705426,0.6463878326996197,0.625,0.2413793103448276,0.3085271317829457,283.0,0.4387596899224806,0.7472868217054263,0.09457364341085271,0.08682170542635659,0.2062015503875969,0.42105263157894735,0.197380379577653,3.9302325581395348,0.3674698795180723,0.060240963855421686,0.2947845804988662,58.0,0.23529411764705882,0.33088235294117646,64.0,0.47058823529411764,0.8014705882352942,1.3775510204081634,0.5204081632653061,0.8571428571428572,4.683673469387755,4.914285714285715,37.46938775510204,4.683673469387755,4.408163265306123,1.0624999999999998,0.826530612244898,0.23529411764705882,81.0,3.7426470588235294,0.75,0.125,0.47692307692307695,1.0,0.24493554327808473,0.3242811501597444,265.0,0.4233226837060703,0.7476038338658146,1.3904109589041096,0.8424657534246576,0.547945205479452,3.2054794520547945,3.8438356164383563,38.58904109589041,7.582191780821918,4.2534246575342465,1.782608695652174,0.6164383561643836,0.17838714042798556,315.0,3.977635782747604,0.6916932907348243,0.09424920127795527,0.5189393939393939,0.5714285714285714,0.2811918063314711,0.35090609555189456,305.0,0.5024711696869851,0.8533772652388797,0.1400329489291598,0.08731466227347612,0.15485996705107083,0.5638297872340425,0.221279363355514,3.874794069192751,0.5483870967741935,0.1032258064516129,0.31322505800464034,33.5625,0.2261904761904762,0.2903225806451613,33.0,0.3548387096774194,0.6451612903225807,1.1408450704225352,0.6338028169014084,0.5070422535211269,1.1408450704225352,3.495774647887324,35.36619718309859,5.704225352112675,3.0422535211267605,1.8749999999999998,0.38028169014084506,0.12864823348694318,56.0,4.0,0.7526881720430108,0.03225806451612903,0.625,1.0,False
8,2025-04-27,Colorado Rockies,115,Bradley Blalock,687134,Cincinnati Reds,113,Nick Lodolo,666157,0.2877959927140255,0.3605769230769231,338.0,0.5416666666666666,0.9022435897435896,1.6304347826086956,0.7898550724637681,0.8405797101449275,5.869565217391305,5.33768115942029,40.69565217391304,7.108695652173912,3.847826086956522,1.8474576271186438,1.5652173913043477,0.2538706739526411,305.0,3.7628205128205128,0.717948717948718,0.16185897435897437,0.8109452736318408,0.7027027027027026,0.21266968325791855,0.29458917835671344,226.0,0.4529058116232465,0.7474949899799599,0.10220440881763528,0.10020040080160321,0.2865731462925852,0.34965034965034963,0.24023612836532796,3.9258517034068134,0.36428571428571427,0.10714285714285714,0.27526132404181186,29.466666666666665,0.3870967741935484,0.42424242424242425,23.0,0.696969696969697,1.1212121212121213,2.0,0.42857142857142855,1.5714285714285714,10.285714285714285,6.914285714285715,42.42857142857143,3.8571428571428568,2.571428571428571,1.5,2.571428571428571,0.30987292277614864,18.0,4.151515151515151,0.8484848484848485,0.24242424242424243,0.75,1.0,0.2066420664206642,0.27545909849749584,283.0,0.4724540901502504,0.7479131886477463,1.1327231121281465,0.9679633867276889,0.16475972540045758,3.3981693363844396,4.408237986270024,37.00915331807781,8.7116704805492,2.9038901601830664,3.0000000000000004,1.4210526315789476,0.26581202372958623,296.0,3.8914858096828047,0.676126878130217,0.10684474123539232,0.3951048951048951,0.9166666666666666,0.2823741007194245,0.3751937984496124,353.0,0.5472868217054263,0.9224806201550387,0.15503875968992248,0.12248062015503876,0.22635658914728682,0.541095890410959,0.2649127209860018,3.9689922480620154,0.6329113924050633,0.12658227848101267,0.3486005089058524,27.8,0.19696969696969696,0.24475524475524477,53.0,0.3706293706293706,0.6153846153846154,0.9722222222222222,0.75,0.2222222222222222,2.25,3.894444444444445,35.75,6.75,1.25,5.4,1.0,0.17365967365967366,81.0,3.7412587412587412,0.7482517482517482,0.06993006993006994,0.5882352941176471,1.0,False
9,2025-04-27,San Francisco Giants,137,Jordan Hicks,663855,Texas Rangers,140,Jack Leiter,683004,0.23064770932069512,0.30446927374301674,301.0,0.420391061452514,0.7248603351955307,1.272373540856031,1.0914396887159532,0.18093385214007784,3.7295719844357973,3.1883268482490275,37.610894941634236,9.822957198443579,3.46692607003891,2.8333333333333335,0.6303501945525292,0.18974335213181887,327.0,3.977653631284916,0.638268156424581,0.10754189944134078,0.7379912663755459,0.6363636363636364,0.22003577817531306,0.3107255520504732,270.0,0.42586750788643535,0.7365930599369086,0.10410094637223975,0.11356466876971609,0.21451104100946372,0.5294117647058824,0.2058317297111223,4.061514195583596,0.39759036144578314,0.0783132530120482,0.26570048309178745,43.0,0.28346456692913385,0.3611111111111111,69.0,0.4791666666666667,0.8402777777777778,1.6082474226804122,0.8350515463917525,0.7731958762886597,6.123711340206185,3.818556701030928,40.082474226804116,7.515463917525772,3.6185567010309274,2.076923076923077,0.556701030927835,0.19570209973753283,70.0,3.8125,0.7013888888888888,0.1597222222222222,1.4516129032258065,1.0,0.21169354838709678,0.279491833030853,219.0,0.397459165154265,0.6769509981851181,1.126829268292683,0.878048780487805,0.24878048780487805,2.8317073170731706,3.6609756097560977,36.28536585365854,7.902439024390245,2.7,2.926829268292683,0.7902439024390244,0.1857656167671682,290.0,3.9038112522686026,0.6932849364791288,0.0925589836660617,0.6106194690265486,0.7142857142857143,0.23277467411545624,0.27177700348432055,239.0,0.4163763066202091,0.6881533101045296,0.08013937282229965,0.04878048780487805,0.25435540069686413,0.1917808219178082,0.18360163250475284,3.764808362369338,0.2754491017964072,0.08982035928143713,0.2887139107611549,35.8,0.1702127659574468,0.25,18.0,0.34615384615384615,0.5961538461538461,0.975,0.975,0.0,2.025,2.375,35.1,8.775,3.375,2.6,0.0,0.17594108019639934,27.0,4.384615384615385,0.6538461538461539,0.057692307692307696,0.5454545454545454,1.0,True
